2019-05-18 14:52:16,928: 'c'
2019-05-18 14:52:17,110: 's'
2019-05-18 14:52:17,112: 's'
2019-05-18 14:52:17,303: 'b'
2019-05-18 14:52:17,303: 'b'
2019-05-18 14:52:17,558: 'h'
2019-05-18 14:52:17,559: 'h'
2019-05-18 14:52:17,635: 'a'
2019-05-18 14:52:17,635: 'a'
2019-05-18 14:52:17,765: 's'
2019-05-18 14:52:17,765: 's'
2019-05-18 14:52:17,995: 'f'
2019-05-18 14:52:17,995: 'f'
2019-05-18 14:52:18,061: 'a'
2019-05-18 14:52:18,062: 'a'
2019-05-18 14:52:18,178: 'l'
2019-05-18 14:52:18,178: 'l'
2019-05-18 14:52:18,302: 'l'
2019-05-18 14:52:18,303: 'l'
2019-05-18 14:52:18,431: 'e'
2019-05-18 14:52:18,431: 'e'
2019-05-18 14:52:18,519: 'n'
2019-05-18 14:52:18,520: 'n'
